fbi_code,year,record_count
01A,2010,438
01A,2011,438
01A,2012,515
01A,2013,430
01A,2014,427
01A,2015,497
01A,2016,786
01A,2017,673
01A,2018,590
01A,2019,499
01B,2011,1
01B,2012,1
01B,2013,1
01B,2014,2
01B,2015,6
01B,2016,4
01B,2017,4
01B,2018,12
01B,2019,10
02,2010,1639
02,2011,1743
02,2012,1702
02,2013,1572
02,2014,1644
02,2015,1727
02,2016,1871
02,2017,1998
02,2018,2064
02,2019,1938
03,2010,14283
03,2011,13996
03,2012,13480
03,2013,11823
03,2014,9810
03,2015,9662
03,2016,11932
03,2017,11897
03,2018,9654
03,2019,8012
04A,2010,5273
04A,2011,5164
04A,2012,4871
04A,2013,4253
04A,2014,4345
04A,2015,4493
04A,2016,5721
04A,2017,5796
04A,2018,6025
04A,2019,5860
04B,2010,9415
04B,2011,8425
04B,2012,7992
04B,2013,6618
04B,2014,6590
04B,2015,7019
04B,2016,8055
04B,2017,7829
04B,2018,7729
04B,2019,7856
05,2010,26399
05,2011,26601
05,2012,22842
05,2013,17884
05,2014,14574
05,2015,13178
05,2016,14284
05,2017,13030
05,2018,11745
05,2019,9607
06,2010,76767
06,2011,75150
06,2012,75388
06,2013,71579
06,2014,61647
06,2015,57353
06,2016,61512
06,2017,64360
06,2018,65254
06,2019,62533
07,2010,19016
07,2011,19401
07,2012,16482
07,2013,12562
07,2014,9913
07,2015,10068
07,2016,11266
07,2017,11372
07,2018,9971
07,2019,8967
08A,2010,16444
08A,2011,15451
08A,2012,15212
08A,2013,13851
08A,2014,12688
08A,2015,12720
08A,2016,13222
08A,2017,13704
08A,2018,14648
08A,2019,18392
08B,2010,55966
08B,2011,52125
08B,2012,51109
08B,2013,47374
08B,2014,42994
08B,2015,41895
08B,2016,42183
08B,2017,41402
08B,2018,42160
08B,2019,42391
09,2010,510
09,2011,499
09,2012,465
09,2013,353
09,2014,392
09,2015,447
09,2016,515
09,2017,445
09,2018,374
09,2019,377
10,2010,1631
10,2011,1574
10,2012,1774
10,2013,1580
10,2014,1530
10,2015,1561
10,2016,1880
10,2017,1903
10,2018,1555
10,2019,1581
11,2010,10725
11,2011,11036
11,2012,11820
11,2013,12156
11,2014,14330
11,2015,14827
11,2016,17426
11,2017,17785
11,2018,18291
11,2019,17544
12,2010,75
12,2011,69
12,2012,65
12,2013,85
12,2014,60
12,2015,49
12,2016,60
12,2017,43
12,2018,38
12,2019,45
13,2010,135
13,2011,89
13,2012,103
13,2013,129
13,2014,79
13,2015,55
13,2016,55
13,2017,51
13,2018,82
13,2019,43
14,2010,40661
14,2011,37379
14,2012,35826
14,2013,30863
14,2014,27830
14,2015,28673
14,2016,30927
14,2017,29093
14,2018,27837
14,2019,26624
15,2010,3721
15,2011,3881
15,2012,3903
15,2013,3253
15,2014,3134
15,2015,3392
15,2016,3473
15,2017,4752
15,2018,5624
15,2019,6548
16,2010,2494
16,2011,2434
16,2012,2218
16,2013,1658
16,2014,1622
16,2015,1323
16,2016,807
16,2017,743
16,2018,733
16,2019,684
17,2010,1376
17,2011,1353
17,2012,1317
17,2013,1408
17,2014,1358
17,2015,1378
17,2016,1399
17,2017,1512
17,2018,1737
17,2019,2024
18,2010,41097
18,2011,36711
18,2012,33633
18,2013,32447
18,2014,27795
18,2015,23334
18,2016,13300
18,2017,11704
18,2018,13616
18,2019,15051
19,2010,928
19,2011,737
19,2012,720
19,2013,600
19,2014,394
19,2015,309
19,2016,188
19,2017,189
19,2018,204
19,2019,142
20,2010,1414
20,2011,1216
20,2012,1099
20,2013,1187
20,2014,1192
20,2015,1260
20,2016,1993
20,2017,1880
20,2018,1728
20,2019,811
22,2010,739
22,2011,622
22,2012,570
22,2013,463
22,2014,396
22,2015,292
22,2016,225
22,2017,188
22,2018,266
22,2019,231
24,2010,3731
24,2011,3645
24,2012,3743
24,2013,3918
24,2014,3920
24,2015,3363
24,2016,2192
24,2017,2226
24,2018,2286
24,2019,3026
26,2010,35640
26,2011,32504
26,2012,29269
26,2013,29591
26,2014,27627
26,2015,26043
26,2016,24291
26,2017,24751
26,2018,24851
26,2019,20756
27,2015,1
27,2016,3
27,2018,74
27,2019,8
