month,year,count
January,2010,29199
February,2010,24885
March,2010,32248
April,2010,31626
May,2010,33420
June,2010,32720
July,2010,33529
August,2010,34141
September,2010,31858
October,2010,32398
November,2010,28912
December,2010,25305
January,2011,27250
February,2011,22234
March,2011,28704
April,2011,29096
May,2011,31608
June,2011,32383
July,2011,33340
August,2011,32672
September,2011,30010
October,2011,30407
November,2011,27663
December,2011,27046
January,2012,26323
February,2012,23894
March,2012,28582
April,2012,27144
May,2012,30036
June,2012,31029
July,2012,31929
August,2012,29992
September,2012,27840
October,2012,28078
November,2012,26119
December,2012,25321
January,2013,25614
February,2013,21430
March,2013,25012
April,2013,25550
May,2013,28009
June,2013,27384
July,2013,28650
August,2013,28580
September,2013,26281
October,2013,25435
November,2013,23506
December,2013,21847
January,2014,20159
February,2014,18121
March,2014,22251
April,2014,23006
May,2014,24961
June,2014,25536
July,2014,26549
August,2014,25862
September,2014,23836
October,2014,23974
November,2014,20713
December,2014,20922
January,2015,20989
February,2015,16416
March,2015,21670
April,2015,21763
May,2015,23724
June,2015,23204
July,2015,24253
August,2015,24825
September,2015,23181
October,2015,23082
November,2015,20606
December,2015,21150
January,2016,20785
February,2016,18770
March,2016,22073
April,2016,21217
May,2016,23572
June,2016,24047
July,2016,24862
August,2016,25006
September,2016,23800
October,2016,23841
November,2016,21830
December,2016,20499
January,2017,22225
February,2017,19323
March,2017,20550
April,2017,21640
May,2017,23315
June,2017,23800
July,2017,24806
August,2017,24855
September,2017,22929
October,2017,23040
November,2017,21567
December,2017,21183
January,2018,20689
February,2018,17347
March,2018,21172
April,2018,21114
May,2018,24687
June,2018,24206
July,2018,25238
August,2018,25486
September,2018,23144
October,2018,22898
November,2018,20716
December,2018,22032
January,2019,19837
February,2019,18439
March,2019,20487
April,2019,21076
May,2019,23674
June,2019,23652
July,2019,24911
August,2019,24507
September,2019,22573
October,2019,21827
November,2019,20061
December,2019,20921
